name,n_rows,n features,n_threads,time,grad_time,loss_time,speedup,grad_speedup,loss_speedup,efficiency,grad_efficiency,loss_efficiency,iterations,loss,grad_norm
CG CUDA TPB 64,3185,122,64,86.74,38.56,48.18,3.83,2.98,4.51,0.0368,0.0287,0.0433,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 128,3185,122,128,145.7,28.8,116.9,3.09,2.39,3.26,0.0594,0.0459,0.0627,7730,1040.5659,9.960115699602947e-05
CG CUDA TPB 128,3185,122,128,68.89,27.91,40.98,4.82,4.12,5.3,0.0927,0.0792,0.1019,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 256,3185,122,256,142.28,22.9,119.38,3.16,3.0,3.19,0.1129,0.1073,0.114,7730,1040.5659,9.960115796464142e-05
CG CUDA TPB 256,3185,122,256,73.3,26.35,46.95,4.53,4.36,4.62,0.1618,0.1558,0.1651,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 512,3185,122,512,131.76,16.63,115.14,3.41,4.14,3.31,0.2134,0.2586,0.2068,7730,1040.5659,9.960114982237953e-05
CG CUDA TPB 512,3185,122,512,69.5,20.64,48.86,4.78,5.57,4.44,0.2985,0.3479,0.2777,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 1024,3185,122,1024,191.84,17.02,174.83,2.34,4.04,2.18,0.2345,0.4043,0.218,7730,1040.5659,9.960114857268616e-05
CG CUDA TPB 1024,3185,122,1024,92.7,20.7,72.01,3.58,5.55,3.01,0.3581,0.5552,0.3015,289,1040.5659,9.3613591069598e-05
sklearn,11055,68,1,0.09,0.09432506561279297,0.09432506561279297,1,1,1,1,1,1,0,1655.9555,3.3017806104316048
GD with Armijo LS,11055,68,1,575.43,55.08,520.35,1.0,1.0,1.0,1,1,1,4298,1655.0573,9.83997030035925e-05
CG with Wolfe LS,11055,68,1,407.62,97.93,309.69,1.0,1.0,1.0,1,1,1,287,1655.0573,9.352638572263727e-05
GD CUDA TPB 32,11055,68,32,38.64,12.46,26.18,14.89,4.42,19.87,0.0213,0.0063,0.0285,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 32,11055,68,32,63.61,33.12,30.49,6.41,2.96,10.16,0.0092,0.0042,0.0146,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 64,11055,68,64,55.5,16.69,38.81,10.37,3.3,13.41,0.0296,0.0094,0.0383,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 64,11055,68,64,43.8,24.59,19.2,9.31,3.98,16.13,0.0266,0.0114,0.0461,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 128,11055,68,128,39.15,12.52,26.64,14.7,4.4,19.54,0.0835,0.025,0.111,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 128,11055,68,128,45.48,25.84,19.65,8.96,3.79,15.76,0.0509,0.0215,0.0896,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 256,11055,68,256,58.95,14.25,44.7,9.76,3.87,11.64,0.1085,0.043,0.1293,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 256,11055,68,256,54.25,26.68,27.56,7.51,3.67,11.24,0.0835,0.0408,0.1248,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 512,11055,68,512,72.54,13.19,59.34,7.93,4.18,8.77,0.1725,0.0908,0.1906,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 512,11055,68,512,65.71,26.17,39.54,6.2,3.74,7.83,0.1349,0.0814,0.1703,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 1024,11055,68,1024,137.13,17.08,120.05,4.2,3.23,4.33,0.1748,0.1344,0.1806,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 1024,11055,68,1024,110.04,32.69,77.35,3.7,3.0,4.0,0.1544,0.1248,0.1668,336,1655.0573,9.538203138833475e-05
